prompt,label,source,label_encoded
What is the capital of France?,benign,generated,0
Can you tell me: What is the capital of France?,benign,generated,0
I need help with: What is the capital of France?,benign,generated,0
Please answer: What is the capital of France?,benign,generated,0
Could you explain: What is the capital of France?,benign,generated,0
Help me understand: What is the capital of France?,benign,generated,0
I'm curious about: What is the capital of France?,benign,generated,0
What do you know about: What is the capital of France?,benign,generated,0
Write a Python function to sort a list,benign,generated,0
Can you tell me: Write a Python function to sort a list,benign,generated,0
I need help with: Write a Python function to sort a list,benign,generated,0
Please answer: Write a Python function to sort a list,benign,generated,0
Could you explain: Write a Python function to sort a list,benign,generated,0
Help me understand: Write a Python function to sort a list,benign,generated,0
I'm curious about: Write a Python function to sort a list,benign,generated,0
What do you know about: Write a Python function to sort a list,benign,generated,0
Summarize the following article in 3 points,benign,generated,0
Can you tell me: Summarize the following article in 3 points,benign,generated,0
I need help with: Summarize the following article in 3 points,benign,generated,0
Please answer: Summarize the following article in 3 points,benign,generated,0
Could you explain: Summarize the following article in 3 points,benign,generated,0
Help me understand: Summarize the following article in 3 points,benign,generated,0
I'm curious about: Summarize the following article in 3 points,benign,generated,0
What do you know about: Summarize the following article in 3 points,benign,generated,0
How does photosynthesis work?,benign,generated,0
Can you tell me: How does photosynthesis work?,benign,generated,0
I need help with: How does photosynthesis work?,benign,generated,0
Please answer: How does photosynthesis work?,benign,generated,0
Could you explain: How does photosynthesis work?,benign,generated,0
Help me understand: How does photosynthesis work?,benign,generated,0
I'm curious about: How does photosynthesis work?,benign,generated,0
What do you know about: How does photosynthesis work?,benign,generated,0
Explain quantum computing to a 10-year-old,benign,generated,0
Can you tell me: Explain quantum computing to a 10-year-old,benign,generated,0
I need help with: Explain quantum computing to a 10-year-old,benign,generated,0
Please answer: Explain quantum computing to a 10-year-old,benign,generated,0
Could you explain: Explain quantum computing to a 10-year-old,benign,generated,0
Help me understand: Explain quantum computing to a 10-year-old,benign,generated,0
I'm curious about: Explain quantum computing to a 10-year-old,benign,generated,0
What do you know about: Explain quantum computing to a 10-year-old,benign,generated,0
What are the benefits of meditation?,benign,generated,0
Can you tell me: What are the benefits of meditation?,benign,generated,0
I need help with: What are the benefits of meditation?,benign,generated,0
Please answer: What are the benefits of meditation?,benign,generated,0
Could you explain: What are the benefits of meditation?,benign,generated,0
Help me understand: What are the benefits of meditation?,benign,generated,0
I'm curious about: What are the benefits of meditation?,benign,generated,0
What do you know about: What are the benefits of meditation?,benign,generated,0
How do I make a good cup of coffee?,benign,generated,0
Can you tell me: How do I make a good cup of coffee?,benign,generated,0
I need help with: How do I make a good cup of coffee?,benign,generated,0
Please answer: How do I make a good cup of coffee?,benign,generated,0
Could you explain: How do I make a good cup of coffee?,benign,generated,0
Help me understand: How do I make a good cup of coffee?,benign,generated,0
I'm curious about: How do I make a good cup of coffee?,benign,generated,0
What do you know about: How do I make a good cup of coffee?,benign,generated,0
List 5 healthy breakfast ideas,benign,generated,0
Can you tell me: List 5 healthy breakfast ideas,benign,generated,0
I need help with: List 5 healthy breakfast ideas,benign,generated,0
Please answer: List 5 healthy breakfast ideas,benign,generated,0
Could you explain: List 5 healthy breakfast ideas,benign,generated,0
Help me understand: List 5 healthy breakfast ideas,benign,generated,0
