prompt,label,source
What is the capital of France?,benign,generated
Can you tell me: What is the capital of France?,benign,generated
I need help with: What is the capital of France?,benign,generated
Please answer: What is the capital of France?,benign,generated
Could you explain: What is the capital of France?,benign,generated
Help me understand: What is the capital of France?,benign,generated
I'm curious about: What is the capital of France?,benign,generated
What do you know about: What is the capital of France?,benign,generated
Write a Python function to sort a list,benign,generated
Can you tell me: Write a Python function to sort a list,benign,generated
I need help with: Write a Python function to sort a list,benign,generated
Please answer: Write a Python function to sort a list,benign,generated
Could you explain: Write a Python function to sort a list,benign,generated
Help me understand: Write a Python function to sort a list,benign,generated
I'm curious about: Write a Python function to sort a list,benign,generated
What do you know about: Write a Python function to sort a list,benign,generated
Summarize the following article in 3 points,benign,generated
Can you tell me: Summarize the following article in 3 points,benign,generated
I need help with: Summarize the following article in 3 points,benign,generated
Please answer: Summarize the following article in 3 points,benign,generated
Could you explain: Summarize the following article in 3 points,benign,generated
Help me understand: Summarize the following article in 3 points,benign,generated
I'm curious about: Summarize the following article in 3 points,benign,generated
What do you know about: Summarize the following article in 3 points,benign,generated
How does photosynthesis work?,benign,generated
Can you tell me: How does photosynthesis work?,benign,generated
I need help with: How does photosynthesis work?,benign,generated
Please answer: How does photosynthesis work?,benign,generated
Could you explain: How does photosynthesis work?,benign,generated
Help me understand: How does photosynthesis work?,benign,generated
I'm curious about: How does photosynthesis work?,benign,generated
What do you know about: How does photosynthesis work?,benign,generated
Explain quantum computing to a 10-year-old,benign,generated
Can you tell me: Explain quantum computing to a 10-year-old,benign,generated
I need help with: Explain quantum computing to a 10-year-old,benign,generated
Please answer: Explain quantum computing to a 10-year-old,benign,generated
Could you explain: Explain quantum computing to a 10-year-old,benign,generated
Help me understand: Explain quantum computing to a 10-year-old,benign,generated
I'm curious about: Explain quantum computing to a 10-year-old,benign,generated
What do you know about: Explain quantum computing to a 10-year-old,benign,generated
What are the benefits of meditation?,benign,generated
Can you tell me: What are the benefits of meditation?,benign,generated
